Date,Equal-Weight,Value-Weight
5/1/2001,71.02736677,37.06612648
6/1/2001,72.16706644,36.38166204
7/1/2001,70.21651116,35.73688733
8/1/2001,67.57901943,33.55975162
9/1/2001,58.76409713,30.47333826
10/1/2001,63.63925417,31.29855375
11/1/2001,68.87602433,33.80461679
12/1/2001,73.44948395,34.40569883
1/1/2002,74.961919,33.99252558
2/1/2002,72.18605711,33.26803109
3/1/2002,78.19173998,34.71348059
4/1/2002,78.16727153,33.05618582
5/1/2002,76.55025803,32.60249405
6/1/2002,71.31311409,30.32353845
7/1/2002,63.00233415,27.95091188
8/1/2002,63.21815754,28.11225207
9/1/2002,57.82173283,25.29486508
10/1/2002,60.45671981,27.14449724
11/1/2002,68.21283654,28.78120976
12/1/2002,64.98502245,27.20750168
1/1/2003,65.19403011,26.53110169
2/1/2003,63.56866592,26.12238404
3/1/2003,64.43327243,26.40186481
4/1/2003,71.04984562,28.58427338
5/1/2003,81.35208702,30.39120227
6/1/2003,85.74409706,30.83066206
7/1/2003,92.02759598,31.59774797
8/1/2003,96.76313468,32.42010322
9/1/2003,99.07436736,32.05544542
10/1/2003,107.3924559,34.0180954
11/1/2003,111.5452095,34.54384535
12/1/2003,115.4740287,36.06937102
1/1/2004,123.7919695,36.91704854
2/1/2004,125.2146155,37.46791861
3/1/2004,125.7000345,37.00110525
4/1/2004,121.418915,36.21307444
5/1/2004,121.5717337,36.7497898
6/1/2004,124.5852485,37.53371425
7/1/2004,116.7494838,36.03911138
8/1/2004,115.3735759,36.09562733
9/1/2004,120.321987,36.83286948
10/1/2004,122.7079227,37.43827364
11/1/2004,133.3480354,39.22810394
12/1/2004,141.3563327,40.61973711
1/1/2005,136.3924253,39.53495982
2/1/2005,138.0093797,40.42495555
3/1/2005,134.0613252,39.7456305
4/1/2005,126.6592111,38.69838011
5/1/2005,132.8416788,40.26767688
6/1/2005,137.5884356,40.66641356
7/1/2005,146.5056975,42.48296658
8/1/2005,144.8784455,42.13931096
9/1/2005,145.8319798,42.49876619
10/1/2005,141.0855291,41.67180198
11/1/2005,146.3426239,43.32976269
12/1/2005,147.7873905,43.42510624
1/1/2006,159.5237962,45.09986428
2/1/2006,160.2623758,45.03621416
3/1/2006,166.9895812,45.91657937
4/1/2006,168.0398323,46.41037404
5/1/2006,160.0396403,44.91844917
6/1/2006,158.8441396,44.9557901
7/1/2006,153.74437,44.80063437
8/1/2006,157.1762635,45.85675423
9/1/2006,158.7728937,46.85925855
10/1/2006,166.7161809,48.60351439
11/1/2006,171.3847247,49.75831376
12/1/2006,173.6415235,50.20462467
1/1/2007,177.7327317,51.17962487
2/1/2007,178.0485207,50.43425502
3/1/2007,178.6586621,50.9821941
4/1/2007,183.0413661,52.97221687
5/1/2007,187.4507234,54.97869451
6/1/2007,185.9922403,54.19994027
7/1/2007,176.488437,52.46353475
8/1/2007,174.6344238,53.19391204
9/1/2007,177.8041945,55.22583976
